,Unnamed: 0_x,년도,순위,영화명,국적,개봉전상영횟수,천만감독유무,천만배우수,원작유무,시리즈유무,블로그리뷰수,유튜브예고편수,예고편조회수,특별상영관유무,개봉특수시기,티켓값,코로나확진자수,음식물제한,음료제한,시간제한,미접종자제한,주연배우팔로워수평균,인기장르,비인기장르,12세관람가,15세관람가,청소년관람불가,관객수,거리좌석합침
61,61,2021,29,미션 파서블,1,22,0,0,0,0,91,11,4733425,0,1,6424,391,1,0,1,0,1281946,1,0,0,1,0,447111,6
62,62,2021,30,더 수어사이드 스쿼드,0,4,0,0,1,1,497,14,31078037,1,1,8976,1552,1,1,1,0,11997061,0,0,0,0,1,419796,7
63,63,2021,31,비와 당신의 이야기,1,11,0,0,0,0,356,11,502257,0,0,9257,658,1,1,0,0,596528,0,0,0,0,0,400958,5
64,64,2021,32,서복,1,12,0,1,0,0,542,7,1933759,0,0,8713,595,1,1,0,0,3664322,0,0,0,1,0,385409,5
65,65,2021,33,킬러의 보디가드 2,0,1576,0,0,0,1,348,8,21097748,1,0,6448,486,1,1,0,0,25248455,0,0,0,0,1,384997,5
66,66,2021,34,루카,0,4,0,0,0,0,488,13,10856256,0,0,7461,551,1,1,0,0,2708388,0,1,0,0,0,371572,5
67,67,2021,35,자산어보,1,21,1,1,0,0,426,9,793241,0,0,9115,443,1,1,0,0,241479,0,0,1,0,0,342538,5
68,68,2021,36,내일의 기억,1,9,0,0,0,0,421,11,485218,0,0,9513,641,1,1,0,0,25341,0,1,0,1,0,335025,5
69,69,2021,37,라야와 마지막 드래곤,0,7,0,0,0,0,178,13,34005095,1,0,6771,419,0,0,1,0,2636237,0,1,0,0,0,322833,5
70,70,2021,38,프리 가이,0,9,0,0,0,0,284,8,1070715,0,1,9919,1604,1,1,1,0,46011307,0,0,1,0,0,313728,7
71,71,2021,39,더 스파이,0,187,0,0,0,0,185,13,3331802,0,0,5707,658,1,1,0,0,0,1,0,0,1,0,313022,5
72,72,2021,40,강릉,1,0,0,0,0,0,1755,8,475333,0,0,9811,2075,1,1,1,0,316934,1,0,0,0,1,306422,7
73,73,2021,41,정글 크루즈,0,7,0,0,0,0,217,18,24958652,1,0,8953,1516,1,1,1,0,0,0,0,1,0,0,251071,7
74,74,2021,42,명탐정 코난: 비색의 탄환,0,0,0,0,1,1,118,13,7123842,0,0,8873,606,1,1,0,0,0,0,1,1,0,0,232871,5
75,75,2021,43,캐시트럭,0,18,1,0,1,0,270,14,413242,1,0,9361,580,1,1,0,0,18063968,0,0,0,0,1,231992,5
76,76,2021,44,크루즈 패밀리: 뉴 에이지,0,35,0,0,0,1,169,5,11276414,0,0,9169,648,1,1,0,0,23116734,0,1,0,0,0,230017,5
77,77,2021,45,이스케이프 룸 2: 노 웨이 아웃,0,3,0,0,0,1,200,8,1262246,0,0,9275,1009,1,1,1,0,203935,0,0,0,1,0,223313,7
78,78,2021,46,"극장판 포켓몬스터: 정글의 아이, 코코",0,0,0,0,1,1,186,12,1403982,0,1,9591,1749,1,1,1,0,0,0,1,0,0,0,213913,7
79,79,2021,47,극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,0,0,0,0,1,1,65,8,971812,0,1,6688,1749,1,1,1,0,0,0,1,0,0,0,199726,7
80,80,2021,48,매트릭스: 리저렉션,0,2,0,0,0,1,444,13,5614714,0,0,8403,6663,1,0,1,1,26064,0,0,0,1,0,191280,9
81,81,2021,49,방법: 재차의,1,14,0,0,0,1,254,8,4279994,0,0,10017,1516,1,1,1,0,228747,0,1,0,1,0,175578,7
82,82,2021,50,새해전야,1,22,0,0,0,0,278,6,34264,0,1,10493,401,1,0,1,0,980050,1,0,1,0,0,171451,6
83,83,2020,1,남산의 부장들,1,26,0,0,0,0,606,11,2182529,0,1,7884,0,0,0,0,0,0,0,0,0,1,0,4750345,0
84,84,2020,2,다만 악에서 구하소서,1,23,0,2,0,0,487,15,2352011,0,1,6426,43,0,0,0,0,2475865,1,0,0,1,0,4357803,2
85,85,2020,3,반도,1,12,1,0,0,1,1876,6,3083818,1,0,6371,51,0,0,0,0,1842528,0,0,0,1,0,3812250,4
86,86,2020,4,히트맨,1,83,0,0,0,0,508,15,1290399,0,1,6467,0,0,0,0,0,55178,1,0,0,1,0,2406232,0
87,87,2020,5,테넷,0,2465,0,0,0,0,1006,15,59311710,1,1,7972,235,0,0,0,0,634033,0,0,1,0,0,1992214,5
88,88,2020,7,#살아있다,1,0,0,2,1,0,902,2,1520727,0,0,7920,45,0,0,0,0,8055486,0,0,0,1,0,1903992,2
89,89,2020,8,강철비2: 정상회담,1,0,1,0,1,1,491,14,2505886,0,0,7939,49,0,0,0,0,1350156,0,0,0,1,0,1791533,2
90,90,2020,9,담보,1,8,0,1,0,0,749,12,1531957,0,0,8758,98,0,0,0,0,1778294,0,0,1,0,0,1719521,5
91,91,2020,10,닥터 두리틀,0,1,0,1,1,0,284,8,6876690,0,1,8134,0,0,0,0,0,53440528,1,0,0,0,0,1607082,0
92,92,2020,11,삼진그룹 영어토익반,1,89,0,0,0,0,406,11,2251653,0,1,7954,78,0,0,0,0,360854,0,0,1,0,0,1571286,5
93,93,2020,12,정직한 후보,1,77,0,0,0,1,416,8,760790,0,1,7849,2,0,0,0,0,45064,1,0,1,0,0,1538038,0
94,94,2020,13,도굴,1,57,0,0,0,0,361,11,1914023,0,0,6006,105,0,0,0,0,1976686,1,0,1,0,0,1523514,3
95,95,2020,14,클로젯,1,49,0,1,0,0,380,3,830609,0,1,8216,1,0,0,0,0,33738,0,1,0,1,0,1270835,0
96,96,2020,15,오케이 마담,1,25,0,0,0,0,475,3,346438,0,1,8668,33,0,0,0,0,421932,1,0,0,1,0,1228968,3
97,97,2020,16,해치지않아,1,192,0,0,1,0,798,5,6749022,0,1,8173,0,0,0,0,0,712550,1,0,1,0,0,1209689,0
98,98,2020,17,천문: 하늘에 묻는다,1,51,0,1,0,0,352,10,2803896,0,0,8126,0,0,0,0,0,0,1,0,1,0,0,1035024,0
99,99,2020,18,결백,1,42,0,1,0,0,461,9,117377,0,0,7900,45,0,0,0,0,881566,0,0,0,1,0,894025,2
100,100,2020,20,작은 아씨들,0,107,0,0,1,0,1229,3,18826053,0,1,7632,2,0,0,0,0,38376995,0,0,0,0,0,864782,0
101,101,2020,21,미드웨이,0,5,0,0,0,0,223,15,24112295,0,0,6310,0,0,0,0,0,1375454,0,0,0,1,0,824836,0
102,102,2020,23,지푸라기라도 잡고 싶은 짐승들,1,49,0,0,1,0,432,6,113169,0,1,8458,1,0,0,0,0,765552,1,0,0,0,1,628977,0
103,103,2020,24,미스터 주: 사라진 VIP,1,27,0,0,0,0,306,5,822970,0,1,6604,0,0,0,0,0,438431,1,0,1,0,0,603203,0
104,104,2020,25,인비저블맨,0,0,0,0,1,0,123,10,14337805,1,1,8587,62,0,0,0,0,1554734,1,0,0,1,0,575043,0
105,105,2020,26,나쁜 녀석들: 포에버,0,2,0,1,0,1,166,6,21426397,1,1,8954,0,0,0,0,0,7483360,0,0,0,0,1,547775,0
106,106,2020,27,국제수사,1,18,0,0,0,0,365,8,921153,0,0,7592,98,0,0,0,0,0,0,0,0,1,0,537470,5
107,107,2020,28,침입자,1,6,0,0,0,0,339,13,335280,0,0,6549,34,0,0,0,0,2011302,0,1,0,1,0,532045,2
108,108,2020,29,스타워즈: 라이즈 오브 스카이워커,0,2,0,0,0,1,724,11,49128354,1,1,8870,0,0,0,0,0,2220094,0,0,1,0,0,507265,0
109,109,2020,30,스파이 지니어스,0,45,0,1,0,0,359,12,21877861,0,1,8089,0,0,0,0,0,37166386,0,1,0,0,0,450932,0
110,110,2020,31,이웃사촌,1,112,1,1,0,0,477,6,234331,0,0,8452,260,1,0,0,0,0,0,0,1,0,0,424764,5
111,111,2020,32,온워드: 단 하루의 기적,0,3,0,0,0,0,124,13,25672020,0,0,8741,44,0,0,0,0,36343660,0,1,0,0,0,418084,2
112,112,2020,33,소리도 없이,1,6,0,1,0,0,8462,6,1328945,0,1,8149,76,0,0,0,0,1123106,1,0,0,1,0,403424,5
113,113,2020,34,버즈 오브 프레이(할리 퀸의 황홀한 해방),0,3,0,0,1,1,291,11,7142019,1,1,7719,1,0,0,0,0,0,0,0,0,1,0,402035,0
